;annee;mois;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P10P1;marche;rf
mai-90;1990;5;0,059483;0,024245;0,043362;0,048094;0,026373;0,024409;0,071675;0,052285;0,059974;0,074274;0,014791;0,0889;0,0068
juin-90;1990;6;-0,00637;0,004266;0,01443;0,015549;0,012487;0,011357;-0,032583;0,006591;-0,002209;-0,005314;0,001056;-0,0042;0,0063
juil-90;1990;7;0,016584;-0,001705;0,004365;-0,004152;0,003342;-0,00584;0,012562;0,011159;0,023932;-0,034108;-0,050692;-0,0094;0,0068
ao�t-90;1990;8;-0,121713;-0,077303;-0,05472;-0,043415;-0,063794;-0,057507;-0,066451;-0,04208;-0,070965;-0,104462;0,017251;-0,0919;0,0066
sept-90;1990;9;-0,055686;-0,032972;0,029304;0,027262;0,000207;0,005419;-0,00716;-0,009093;-0,051295;-0,085264;-0,029578;-0,0538;0,006
oct-90;1990;10;-0,046467;0,022918;0,048588;0,039885;0,045218;0,064437;0,011432;0,038799;0,061754;0,026397;0,072864;-0,0125;0,0068
nov-90;1990;11;0,079425;0,046318;0,030664;0,028028;0,047551;0,007713;0,036888;0,037764;0,023948;0,042007;-0,037418;0,0657;0,0057
d�c-90;1990;12;-0,026676;0,008116;0,023304;0,014779;0,007588;0,0235;0,010768;0,032303;-0,002635;-0,004073;0,022603;0,0295;0,006
janv-91;1991;1;0,059617;0,01285;-0,012729;-0,022304;0,003593;0,024278;0,007218;-0,003656;0,028778;0,0581;-0,001517;0,0491;0,0052
f�vr-91;1991;2;0,069685;0,041446;0,041232;0,045284;0,068704;0,055196;0,057169;0,035204;0,065065;0,063827;-0,005858;0,0758;0,0048
mars-91;1991;3;0,014954;0,01897;0,030572;0,027971;0,005271;-0,001533;0,018988;-0,005794;0,010476;0,02827;0,013316;0,0289;0,0044
avr-91;1991;4;-0,036401;0,010589;-0,001798;-0,00498;0,030552;0,004318;0,036524;0,010834;-0,015413;0,021525;0,057926;0,0033;0,0053
mai-91;1991;5;0,013068;0,008638;0,013102;0,032144;-0,012;0,029471;-0,020411;0,013635;0,019555;0,051028;0,03796;0,0407;0,0047
juin-91;1991;6;-0,068089;-0,005023;-0,033331;-0,031107;-0,010596;-0,01089;-0,006167;-0,02911;-0,021549;-0,053118;0,014971;-0,044;0,0042
juil-91;1991;7;-0,003278;0,046416;0,041769;0,049725;0,041978;0,037582;0,047332;0,036387;0,036206;0,064178;0,067456;0,0468;0,0049
ao�t-91;1991;8;0,010344;0,064655;-0,003286;0,023385;0,037322;0,03705;0,029491;0,02874;0,021244;-0,011839;-0,022183;0,0268;0,0046
sept-91;1991;9;0,008239;0,028739;0,047162;0,043707;0,052301;0,020797;0,015668;0,032908;-0,014918;-0,037797;-0,046036;-0,011;0,0046
oct-91;1991;10;0,013362;0,027372;0,017731;0,003916;0,001775;0,025029;0,008534;0,016686;0,025208;0,059138;0,045776;0,0178;0,0042
nov-91;1991;11;-0,048095;0,022747;0,009435;0,023266;0,024301;0,011844;0,016668;0,03021;-0,010345;-0,05634;-0,008245;-0,0373;0,0039
d�c-91;1991;12;0,04475;0,065887;0,04595;0,042862;0,047809;0,038756;0,053764;0,056446;0,071987;0,139288;0,094538;0,1068;0,0038
janv-92;1992;1;0,022678;-0,028272;-0,02834;-0,040394;-0,024755;-0,034164;-0,00975;-0,031343;0,001448;0,007874;-0,014804;-0,0012;0,0034
f�vr-92;1992;2;0,050728;0,000647;0,012469;-0,002703;-0,000746;-0,011272;0,024023;0,002703;0,033033;0,033876;-0,016852;0,0134;0,0028
mars-92;1992;3;-0,007397;-0,030642;0,002454;-0,01192;0,005732;0,002842;-0,025771;-0,029329;-0,037265;-0,021594;-0,014197;-0,0237;0,0034
avr-92;1992;4;-0,02548;0,032642;0,00626;0,027797;0,003539;0,027384;0,023783;0,036837;0,014867;0,004265;0,029745;0,0134;0,0032
mai-92;1992;5;-0,006043;0,009944;0,041691;0,024658;0,025523;0,034785;0,031022;0,024532;0,001075;0,005749;0,011792;0,0064;0,0028
juin-92;1992;6;-0,017085;-0,006321;-0,001278;0,013581;0,021275;0,013272;-0,015881;0,015039;-0,031024;-0,03877;-0,021685;-0,0193;0,0032
juil-92;1992;7;0,051792;0,060654;0,067933;0,071061;0,051008;0,073209;0,060902;0,041932;0,041636;0,049448;-0,002344;0,0399;0,0031
ao�t-92;1992;8;-0,047409;-0,01813;0,00997;0,014019;0,009957;0,015043;0,004608;0,012949;-0,0013;0,001537;0,048946;-0,0208;0,0026
sept-92;1992;9;-0,000285;0,025561;0,023161;-0,012566;0,004294;0,008251;0,007971;0,004239;-0,010065;0,053977;0,054262;0,0124;0,0026
oct-92;1992;10;0,026793;0,002773;-0,022985;0,003865;-0,00533;0,007499;-0,003531;-0,033308;0,018376;0,03108;0,004287;0,011;0,0023
nov-92;1992;11;0,061017;0,034958;0,016203;0,019862;-0,002578;0,01146;0,013765;-0,008556;0,020707;0,043458;-0,017559;0,0402;0,0023
d�c-92;1992;12;0,013986;0,032026;0,009674;0,020958;0,041136;0,024771;0,024111;-0,002509;0,029568;0,011204;-0,002782;0,0178;0,0028
janv-93;1993;1;-0,00272;0,025751;0,026493;0,028386;0,016008;0,034881;0,019669;0,039857;0,026572;0,014016;0,016736;0,0126;0,0023
f�vr-93;1993;2;0,026915;0,042253;0,089376;0,050633;0,055805;0,032694;0,056968;0,027628;0,045437;0,038064;0,011149;0,0054;0,0022
mars-93;1993;3;0,042563;0,058635;0,008647;0,011165;0,032321;0,008045;0,008258;0,010256;0,019385;0,082738;0,040175;0,0251;0,0025
avr-93;1993;4;-0,009713;0,002497;0,011216;0,002604;-0,005476;-0,016106;0,008497;-0,013147;-0,033525;-0,013933;-0,00422;-0,0254;0,0024
mai-93;1993;5;0,011614;-0,007192;0,002681;0,003586;0,001157;0,004304;-0,016301;0,018927;0,024097;0,0601;0,048486;0,0296;0,0022
juin-93;1993;6;0,029924;0,016596;0,007779;0,011927;0,010471;-0,000443;0,036317;0,042264;0,010831;-0,010946;-0,04087;0,0054;0,0025
juil-93;1993;7;0,032919;0,017526;0,006184;0,027737;0,041292;-0,003559;0,026488;0,026171;0,022527;0,004902;-0,028017;-8,00E-04;0,0024
ao�t-93;1993;8;0,034017;0,017544;0,005745;0,03466;0,023467;0,057258;0,037534;0,016981;0,03405;0,030585;-0,003432;0,0395;0,0025
sept-93;1993;9;-0,013692;0,015004;-0,006737;0,001323;-0,015233;0,006673;-0,01056;0,019872;0,01871;-0,005924;0,007768;6,00E-04;0,0026
oct-93;1993;10;0,073766;0,007994;-0,02229;-0,021146;-0,011677;-0,0283;-0,035003;-0,020106;-0,000724;0,046193;-0,027573;0,0181;0,0022
nov-93;1993;11;-0,019543;-0,038781;-0,057074;-0,053327;-0,070261;-0,047125;-0,054033;-0,051255;-0,052795;-0,042591;-0,023048;-0,0176;0,0025
