"";"annee";"mois";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P10P1";"marche";"rf"
"6/1993";1993;6;-0,025669;0,012247;0,016418;0,013808;0,030346;0,024629;0,04189;0,020178;0,01435;0,006523;0,032192;0,0054;0,0025
"7/1993";1993;7;0,020158821;0,007161831;0,024464511;0,046148805;0,024599376;0,031693275;0,021586392;0,014570415;0,023265711;-0,011687676;-0,031846497;-8e-04;0,0024
"8/1993";1993;8;0,01829;0,026078;0,031425;0,038594;0,030762;0,03116;0,004725;0,020726;0,032041;0,05804;0,03975;0,0395;0,0025
"9/1993";1993;9;0,010627;-0,023159;-0,00709;-0,000462;-0,009642;0,007308;-0,005159;0,009694;0,006567;0,020752;0,010125;6e-04;0,0026
"10/1993";1993;10;0,048806145;0,014570415;-0,019676657;-0,006508502;-0,046790744;-0,01646645;-0,000726725999999999;-0,004582578;-0,013938925;0,033815151;-0,014990994;0,0181;0,0022
"11/1993";1993;11;-0,028359;-0,043708;-0,059811;-0,040133;-0,059816;-0,047051;-0,066548;-0,051988;-0,042976;-0,046395;-0,018036;-0,0176;0,0025
"12/1993";1993;12;0,059586;0,006999;0,028886;0,009134;0,009978;0,003166;0,012143;0,029928;0,016465;-0,002448;-0,062034;0,0195;0,0023
"1/1994";1994;1;-0,038905867;-0,030595565;-0,01409408;-0,023478455;-0,01739738;-0,013026013;0,012509478;0,005737257;0,051369579;0,070245684;0,109151551;0,0315;0,0025
"2/1994";1994;2;-0,068779;-0,058412;-0,057962;-0,041287;-0,050166;-0,050621;-0,033154;-0,012666;-0,01457;0,002567;0,071346;-0,0242;0,0021
"3/1994";1994;3;-0,073015;-0,050727;-0,045785;-0,033351;-0,016015;-0,007712;-0,030959;-0,022108;-0,039947;-0,009414;0,063601;-0,0458;0,0027
"4/1994";1994;4;0,028497474;0,027310662;0,019585395;0,026014959;0,01765233;0,03353643;-0,019948929;0,025169805;-0,00330430100000001;0,009319671;-0,019177803;0,0095;0,0027
"5/1994";1994;5;-0,069056;-0,057393;-0,022482;-0,059781;-0,064739;-0,057813;-0,038056;-0,028104;0,005839;-0,059737;0,00931899999999999;0,0094;0,0032
"6/1994";1994;6;-0,020482;-0,036068;-0,041379;-0,064605;-0,035565;-0,02381;-0,032356;-0,030168;-0,022406;-0,036128;-0,015646;-0,0279;0,0031
"7/1994";1994;7;0,038957004;0,060952986;0,047755197;0,055916028;0,030243726;0,039214746;0,015406578;0,013480506;0,007886106;0,019825155;-0,019131849;0,0306;0,0028
"8/1994";1994;8;0,017191;0,002111;0,018891;0,020189;0,004539;0,01801;0,037583;0,019188;0,020802;0,002784;-0,014407;0,0426;0,0037
"9/1994";1994;9;-0,036051;-0,027907;-0,027576;-0,039462;-0,043663;-0,038319;-0,004785;-0,046914;-0,022019;-0,035137;0,000914000000000005;-0,0184;0,0037
"10/1994";1994;10;0,007360632;0,025021953;-0,00344344;0,034931034;0,006678315;0,015755229;0,009325665;0,028619352;-0,004609605;-0,013431418;-0,02079205;0,0145;0,0038
"11/1994";1994;11;-0,00131;0,005434;-0,042304;-0,021448;-0,006792;-0,010257;-0,04386;-0,019216;-0,037537;-0,0402;-0,03889;-0,0372;0,0037
"12/1994";1994;12;0,026699;-0,022383;0,021958;0,000386000000000001;0,022079;0,014653;0,008346;0,005458;-0,026874;-0,012504;-0,039203;0,0126;0,0044
"1/1995";1995;1;-0,01493492;0,025710264;0,035806158;0,026972001;0,046040913;0,064918017;0,061953984;0,060555384;0,08509482;0,054208737;0,069143657;0,0204;0,0042
"2/1995";1995;2;-0,00033;-0,003347;-0,006271;0,016583;0,00275;0,011912;0,023471;0,035535;0,030633;0,077418;0,077748;0,0396;0,004
"3/1995";1995;3;-0,079255;-0,030683;-0,017558;-0,0171;-0,006919;-0,019689;-0,016338;-0,004281;-0,005016;0,059611;0,138866;0,027;0,0046
"4/1995";1995;4;0,035020944;0,016027956;0,020246733;0,002835162;0,017865117;0,023080896;0,008240751;0,022498479;-0,001152151;0,002449548;-0,032571396;0,025;0,0044
"5/1995";1995;5;0,065386;0,050321;0,031788;0,048345;0,046667;0,012527;0,031637;0,049566;0,01028;-0,004814;-0,0702;0,034;0,0054
"6/1995";1995;6;-0,007511;0,003435;0,009253;-0,010211;0,007666;0,024667;0,009572;0,005517;0,009276;0,009936;0,017447;0,0312;0,0047
"7/1995";1995;7;-0,024828804;-0,005659654;-0,021029008;0,014978007;-0,005107102;0,027979992;0,005256738;-0,002176174;-0,015889874;0,029431539;0,054260343;0,0408;0,0045
"8/1995";1995;8;0,024113;0,020515;0,029163;0,006657;0,007567;0,019923;0,007972;0,008755;0,024273;0,039546;0,015433;0,0093;0,0047
"9/1995";1995;9;0,027566;0,055512;0,040378;0,051236;0,072508;-0,006463;0,042128;0,046678;0,05995;0,009366;-0,0182;0,0364;0,0043
"10/1995";1995;10;-0,002686684;0,000659340000000002;0,012008979;0,005411583;0,010780209;-0,033789756;0,02941056;0,021600378;0,00846153;0,01097901;0,013665694;-0,0113;0,0047
"11/1995";1995;11;0,037876;0,013583;0,039047;0,030493;0,009977;0,114378;0,002873;0,016407;-0,005819;0,031697;-0,006179;0,0427;0,0042
"12/1995";1995;12;0,008878;0,039434;0,041619;0,032415;0,036071;-0,002877;0,030911;0,04063;0,045784;0,015386;0,006508;0,0152;0,0049
"1/1996";1996;1;0,003929067;-0,016644628;-0,008632624;0,015389595;0,024979995;0,013099887;0,024464511;0,03401595;0,052636311;0,066156777;0,06222771;0,0281;0,0043
"2/1996";1996;2;-0,065567;-0,028094;-0,007169;-0,034166;-0,017825;-0,011648;-0,022388;0,006414;0,016063;0,085124;0,150691;0,0163;0,0039
"3/1996";1996;3;-0,064778;-0,012035;-0,013211;0,001954;-0,014692;0,00458;0,028233;0,02002;0,029381;0,114337;0,179115;0,0109;0,0039
"4/1996";1996;4;-0,00547547;0,010464525;-0,019062043;-0,037298261;-0,025770745;-0,032069037;0,006615378;-0,004546542;-0,027912885;-0,0193193;-0,01384383;0,0255;0,0046
"5/1996";1996;5;0,042052;-0,013388;0,014581;0,028884;0,000259999999999999;0,006484;-0,00192;0,019942;0,000392999999999998;-0,022454;-0,064506;0,0268;0,0042
"6/1996";1996;6;-0,00906;0,004898;0,04529;0,044383;0,044294;0,039156;0,015463;-0,011115;0,005904;0,011399;0,020459;-0,0083;0,004
"7/1996";1996;7;-0,067128061;-0,060684624;-0,045541496;-0,051302251;-0,047760713;-0,034499465;-0,053235182;-0,021786765;-0,019335316;-0,118306188;-0,051178127;-0,0538;0,0045
"8/1996";1996;8;0,057482;0,064408;0,042338;0,044698;0,035215;0,02176;0,049078;0,023368;0,021884;0,016141;-0,041341;0,0325;0,0041
"9/1996";1996;9;-0,019816;0,006813;-0,007369;-0,006172;0,005615;-0,001909;0,017883;0,016699;0,01594;0,007804;0,02762;0,053;0,0044
"10/1996";1996;10;0,014049936;0,007216776;0,042425532;0,05270724;0,024230745;-0,004865861;0,014233752;0,020718261;0,013949037;0,005255739;-0,008794197;0,0136;0,0042
"11/1996";1996;11;0,027882;0,04585;-0,000856000000000001;0,023445;0,021179;0,03109;0,031341;0,058973;0,039177;0,061316;0,033434;0,0655;0,0041
"12/1996";1996;12;0,005604;0,018992;-0,012921;8,40000000000004e-05;0,019055;-0,015982;-0,004417;-0,011111;0,022171;-0,028658;-0,034262;-0,0114;0,0046
"1/1997";1997;1;-0,017820803;-0,007442435;-0,012384372;-0,009621612;-0,000822822;0,012620367;0,015541443;0,034859106;0,037324638;0,084082833;0,101903636;0,0534;0,0045
"2/1997";1997;2;-0,045246;-0,040214;-0,017328;-0,00407;-0,004883;0,011106;0,00133;0,003806;0,030056;0,026244;0,07149;-0,0011;0,0039
"3/1997";1997;3;-0,157199;-0,077384;-0,044701;-0,031688;-0,018995;-0,027303;-0,004801;-0,008133;-0,004721;0,044473;0,201672;-0,0448;0,0043
"4/1997";1997;4;0,00707292;-0,00371371;0,016805178;0,00396603;-0,015186171;0,017023959;-0,030545515;-0,011452441;-0,038191153;-0,007860853;-0,014933773;0,0423;0,0043
"5/1997";1997;5;0,030727;0,055816;0,045423;0,034182;0,03428;0,019301;0,048553;0,030016;-0,004326;0,05243;0,021703;0,0716;0,0049
"6/1997";1997;6;0,042489;0,035361;0,024395;0,043828;0,033656;0,022269;0,025404;0,030107;0,006651;0,074797;0,032308;0,0441;0,0037
"7/1997";1997;7;0,019938042;0,064844091;0,013487499;0,015882102;0,047626326;0,058725216;0,04423572;0,016211772;0,029578392;0,076071852;0,05613381;0,0765;0,0043
"8/1997";1997;8;0,015314;-0,014314;0,002987;-0,006227;-0,013762;-0,008494;-0,011841;-0,001949;0,016806;0,017278;0,00196399999999999;-0,0363;0,0041
"9/1997";1997;9;0,004776;0,051508;0,04028;0,065583;0,054558;0,024638;0,046508;0,051582;0,048959;0,128718;0,123942;0,0584;0,0044
"10/1997";1997;10;0,067693239;-0,007235228;0,004221774;0,019409571;-0,006053047;-0,001272271;0,003900096;0,008886105;0,007606386;-0,035549514;-0,103242753;-0,0345;0,0042
"11/1997";1997;11;0,06875;0,043272;0,061876;0,071449;0,076481;0,065847;0,031634;0,053641;0,049819;0,0412;-0,02755;0,0305;0,0039
"12/1997";1997;12;0,006253;0,096125;0,072975;0,086341;0,09086;0,073467;0,079282;0,079862;0,062378;-0,006106;-0,012359;0,0178;0,0048
"1/1998";1998;1;-0,124040917;-0,051553502;-0,082039958;-0,044962918;-0,067654587;-0,014290276;-0,039767728;-0,028629601;0,023480496;0,031704264;0,155745181;0,0045;0,0043
"2/1998";1998;2;-0,016337;-0,02079;0,025545;0,008092;0,022528;0,018269;0,043831;0,016911;0,040828;0,077513;0,09385;0,0732;0,0039
"3/1998";1998;3;-0,003335;0,002435;0,031586;0,033006;0,063032;0,041077;0,068872;0,101374;0,066337;0,099913;0,103248;0,0513;0,0039
"4/1998";1998;4;0,033953013;-0,007121114;-0,01736735;-0,047009963;-0,054908854;-0,036275239;-0,031099068;-0,011067056;0,00685314;-0,034946912;-0,068899925;0,0109;0,0043
"5/1998";1998;5;-0,016026;-0,041791;-0,042178;-0,027103;-0,021165;-0,048365;-0,01779;-0,011515;-0,023084;-0,016464;-0,000437999999999994;-0,0258;0,004
"6/1998";1998;6;-0,045229;0,045667;0,025628;0,05376;0,045092;0,042445;0,008468;0,025547;0,014932;0,055802;0,101031;0,032;0,0041
"7/1998";1998;7;-0,094004911;-0,076945869;-0,056971915;-0,024682658;-0,064246182;-0,084740656;-0,0332332;-0,073705632;-0,030797767;-0,035973938;0,058030973;-0,0233;0,004
"8/1998";1998;8;-0,077843;-0,066113;-0,012889;-0,008692;0,013102;-0,02391;-0,016789;-0,022133;-0,042333;-0,086934;-0,00909099999999999;-0,1577;0,0043
"9/1998";1998;9;0,075343;0,082673;0,081979;0,087828;0,090452;0,070349;0,07867;0,061656;0,081508;0,038841;-0,036502;0,0638;0,0046
"10/1998";1998;10;0,062116821;0,027666306;-0,011537526;-0,031380349;-0,036694658;0,049986963;-0,004896892;0,009083907;-0,004748744;0,050201748;-0,011915073;0,0744;0,0032
"11/1998";1998;11;0,00719899999999999;0,027574;0,004084;-0,00611;0,015632;-0,029828;0,046535;-0,014897;0,06491;0,04684;0,039641;0,062;0,0031
"12/1998";1998;12;0,003053;0,050397;0,004908;0,042168;0,043026;-0,002135;0,069496;-0,018876;0,061132;0,089116;0,086063;0,0631;0,0038
